		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
		33109	565696	566631	566720	566742	566747	566750	566751	566783	566798	566802	566967	566993	566999	567203	567238	567260	567322	567439	567443	567547	568098
1	33109	99999	99999	99999	336.0919367	99999	99999	99999	434.573118	99999	218.2286455	99999	99999	99999	608.5353028	99999	99999	99999	99999	647.8803531	99999	411.5589777	99999
2	565696	99999	99999	582.3229152	99999	99999	99999	99999	99999	99999	99999	99999	406.5667354	354.7778969	99999	248.9006061	612.2493429	99999	99999	99999	99999	99999	99999
3	566631	99999	582.3229152	99999	99999	99999	99999	586.6612422	99999	417.3922229	99999	99999	99999	240.8495204	99999	99999	203.7893259	655.9728653	99999	99999	99999	99999	99999
4	566720	336.0919367	99999	99999	99999	99999	536.7049951	99999	488.3769882	99999	507.7404407	99999	99999	99999	99999	99999	99999	99999	644.6822916	99999	99999	99999	99999
5	566742	99999	99999	99999	99999	99999	99999	491.4122135	99999	448.5524759	99999	661.3118611	99999	99999	99999	99999	99999	160.2076766	99999	99999	302.540407	99999	508.0149146
6	566747	99999	99999	99999	536.7049951	99999	99999	99999	562.996968	99999	99999	99999	99999	99999	99999	99999	99999	99999	405.2304971	99999	99999	99999	99999
7	566750	99999	99999	586.6612422	99999	491.4122135	99999	99999	99999	517.1334685	99999	441.4144315	927.5381797	657.4025782	99999	99999	405.4647881	442.8382197	99999	625.9581479	683.087554	99999	596.1304443
8	566751	434.573118	99999	99999	488.3769882	99999	562.996968	99999	99999	99999	353.6424044	660.3723237	99999	99999	99999	99999	99999	99999	310.4164341	313.8663986	99999	454.5113882	99999
9	566783	99999	99999	417.3922229	99999	448.5524759	99999	517.1334685	99999	99999	99999	99999	99999	644.0826082	99999	99999	436.3464285	288.7857903	99999	99999	344.5459434	99999	99999
10	566798	218.2286455	99999	99999	507.7404407	99999	99999	99999	353.6424044	99999	99999	99999	99999	99999	521.5875952	99999	99999	99999	663.9169871	469.0095203	99999	201.519605	99999
11	566802	99999	99999	99999	99999	661.3118611	99999	441.4144315	660.3723237	99999	99999	99999	99999	99999	99999	99999	99999	99999	619.055645	397.3230677	99999	99999	348.6341353
12	566967	99999	406.5667354	99999	99999	99999	99999	927.5381797	99999	99999	99999	99999	99999	573.6233322	510.6686789	447.9675499	99999	99999	99999	975.1837534	99999	694.2131966	99999
13	566993	99999	354.7778969	240.8495204	99999	99999	99999	657.4025782	99999	644.0826082	99999	99999	573.6233322	99999	99999	603.6784312	268.7278583	99999	99999	99999	99999	99999	99999
14	566999	608.5353028	99999	99999	99999	99999	99999	99999	99999	99999	521.5875952	99999	510.6686789	99999	99999	99999	99999	99999	99999	99999	99999	436.4131138	99999
15	567203	99999	248.9006061	99999	99999	99999	99999	99999	99999	99999	99999	99999	447.9675499	603.6784312	99999	99999	99999	99999	99999	99999	99999	99999	99999
16	567238	99999	612.2493429	203.7893259	99999	99999	99999	405.4647881	99999	436.3464285	99999	99999	99999	268.7278583	99999	99999	99999	593.8914063	99999	99999	99999	99999	99999
17	567260	99999	99999	655.9728653	99999	160.2076766	99999	442.8382197	99999	288.7857903	99999	99999	99999	99999	99999	99999	593.8914063	99999	99999	99999	244.0525465	99999	633.7259093
18	567322	99999	99999	99999	644.6822916	99999	405.2304971	99999	310.4164341	99999	663.9169871	619.055645	99999	99999	99999	99999	99999	99999	99999	454.0279216	99999	99999	845.9392165
19	567439	647.8803531	99999	99999	99999	99999	99999	625.9581479	313.8663986	99999	469.0095203	397.3230677	975.1837534	99999	99999	99999	99999	99999	454.0279216	99999	99999	423.9539249	99999
20	567443	99999	99999	99999	99999	302.540407	99999	683.087554	99999	344.5459434	99999	99999	99999	99999	99999	99999	99999	244.0525465	99999	99999	99999	99999	99999
21	567547	411.5589777	99999	99999	99999	99999	99999	99999	454.5113882	99999	201.519605	99999	694.2131966	99999	436.4131138	99999	99999	99999	99999	423.9539249	99999	99999	99999
22	568098	99999	99999	99999	99999	508.0149146	99999	596.1304443	99999	99999	99999	348.6341353	99999	99999	99999	99999	99999	633.7259093	845.9392165	99999	99999	99999	99999
