		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
		565675	565621	565667	567510	565801	566010	567891	565492	565558	565627	565572	565610	565859	565630	565559	565845	565527	565633	565496	565865	565773	567531	565516	565393	565753	33566	566074	565648	567526	565551	565631	565608	567500	565531	565562	32788	567497	566316	568056	565964	567618	565898
1	565675	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	548.7354807	99999	99999	99999	99999	820.2553494	99999	437.3793916	99999	99999	313.6952012	99999	99999	99999	99999	99999	99999	99999	99999	465.2332765
2	565621	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	459.9402549	99999	99999	99999	99999	503.8077613	99999	352.5686022	99999	99999	99999	99999	99999	99999	334.4934762	99999	99999	99999	524.9385901	99999	477.2548058	99999	99999	99999	99999	99999	99999	464.0281225	99999
3	565667	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	457.225921	552.2797715	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	344.3123946	99999	99999	99999
4	567510	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	156.8037184	99999	99999	99999	411.5479484	99999	99999	99999	99999	99999	99999	304.230043	99999	407.1607003
5	565801	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	315.8408511	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	278.0395014	99999	99999	99999	99999	99999	309.1910649	99999	99999	99999	498.5561007	99999	99999	99999	99999	99999	514.8869922	591.8393186
6	566010	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	403.4334155	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	440.4898131	99999	99999	99999	450.1330491	99999	99999	99999	99999	99999	99999	574.9925199
7	567891	99999	99999	99999	99999	99999	99999	99999	99999	258.799483	323.7494377	99999	99999	99999	99999	407.0628527	99999	99999	374.6192304	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	595.1510941	99999	99999	99999	99999	99999	99999	99999	390.4123511	410.0771006	99999	99999	99999
8	565492	99999	99999	99999	99999	99999	99999	99999	99999	545.297812	99999	99999	99999	99999	99999	99999	99999	510.335702	316.7506483	449.1874012	99999	99999	99999	99999	99999	99999	99999	99999	479.3149769	99999	416.2660333	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
9	565558	99999	99999	99999	99999	99999	99999	258.799483	545.297812	99999	526.1715912	99999	99999	99999	99999	296.9245931	99999	99999	431.446171	99999	99999	99999	99999	449.6854295	99999	99999	99999	99999	99999	99999	364.544149	99999	99999	99999	99999	99999	99999	99999	421.3981435	99999	99999	99999	99999
10	565627	99999	99999	99999	99999	99999	99999	323.7494377	99999	526.1715912	99999	99999	99999	99999	99999	484.185667	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	312.0409326	473.9878723	99999	99999	99999
11	565572	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	415.0307836	500.1192756	99999	389.0061825	99999	99999	99999	99999	99999	99999	99999	99999	403.3135371	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	364.531195	99999	406.7715392	99999	99999	99999	99999
