		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
		33109	565696	566631	566720	566742	566747	566750	566751	566783	566798	566802	566967	566993	566999	567203	567238	567260	567322	567439	567443	567547	568098
1	33109	-1	-1	-1	336.0919367	-1	-1	-1	434.573118	-1	218.2286455	-1	-1	-1	608.5353028	-1	-1	-1	-1	647.8803531	-1	411.5589777	-1
2	565696	-1	-1	582.3229152	-1	-1	-1	-1	-1	-1	-1	-1	406.5667354	354.7778969	-1	248.9006061	612.2493429	-1	-1	-1	-1	-1	-1
3	566631	-1	582.3229152	-1	-1	-1	-1	586.6612422	-1	417.3922229	-1	-1	-1	240.8495204	-1	-1	203.7893259	655.9728653	-1	-1	-1	-1	-1
4	566720	336.0919367	-1	-1	-1	-1	536.7049951	-1	488.3769882	-1	507.7404407	-1	-1	-1	-1	-1	-1	-1	644.6822916	-1	-1	-1	-1
5	566742	-1	-1	-1	-1	-1	-1	491.4122135	-1	448.5524759	-1	661.3118611	-1	-1	-1	-1	-1	160.2076766	-1	-1	302.540407	-1	508.0149146
6	566747	-1	-1	-1	536.7049951	-1	-1	-1	562.996968	-1	-1	-1	-1	-1	-1	-1	-1	-1	405.2304971	-1	-1	-1	-1
7	566750	-1	-1	586.6612422	-1	491.4122135	-1	-1	-1	517.1334685	-1	441.4144315	927.5381797	657.4025782	-1	-1	405.4647881	442.8382197	-1	625.9581479	683.087554	-1	596.1304443
8	566751	434.573118	-1	-1	488.3769882	-1	562.996968	-1	-1	-1	353.6424044	660.3723237	-1	-1	-1	-1	-1	-1	310.4164341	313.8663986	-1	454.5113882	-1
9	566783	-1	-1	417.3922229	-1	448.5524759	-1	517.1334685	-1	-1	-1	-1	-1	644.0826082	-1	-1	436.3464285	288.7857903	-1	-1	344.5459434	-1	-1
10	566798	218.2286455	-1	-1	507.7404407	-1	-1	-1	353.6424044	-1	-1	-1	-1	-1	521.5875952	-1	-1	-1	663.9169871	469.0095203	-1	201.519605	-1
11	566802	-1	-1	-1	-1	661.3118611	-1	441.4144315	660.3723237	-1	-1	-1	-1	-1	-1	-1	-1	-1	619.055645	397.3230677	-1	-1	348.6341353
12	566967	-1	406.5667354	-1	-1	-1	-1	927.5381797	-1	-1	-1	-1	-1	573.6233322	510.6686789	447.9675499	-1	-1	-1	975.1837534	-1	694.2131966	-1
13	566993	-1	354.7778969	240.8495204	-1	-1	-1	657.4025782	-1	644.0826082	-1	-1	573.6233322	-1	-1	603.6784312	268.7278583	-1	-1	-1	-1	-1	-1
14	566999	608.5353028	-1	-1	-1	-1	-1	-1	-1	-1	521.5875952	-1	510.6686789	-1	-1	-1	-1	-1	-1	-1	-1	436.4131138	-1
15	567203	-1	248.9006061	-1	-1	-1	-1	-1	-1	-1	-1	-1	447.9675499	603.6784312	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	567238	-1	612.2493429	203.7893259	-1	-1	-1	405.4647881	-1	436.3464285	-1	-1	-1	268.7278583	-1	-1	-1	593.8914063	-1	-1	-1	-1	-1
17	567260	-1	-1	655.9728653	-1	160.2076766	-1	442.8382197	-1	288.7857903	-1	-1	-1	-1	-1	-1	593.8914063	-1	-1	-1	244.0525465	-1	633.7259093
18	567322	-1	-1	-1	644.6822916	-1	405.2304971	-1	310.4164341	-1	663.9169871	619.055645	-1	-1	-1	-1	-1	-1	-1	454.0279216	-1	-1	845.9392165
19	567439	647.8803531	-1	-1	-1	-1	-1	625.9581479	313.8663986	-1	469.0095203	397.3230677	975.1837534	-1	-1	-1	-1	-1	454.0279216	-1	-1	423.9539249	-1
20	567443	-1	-1	-1	-1	302.540407	-1	683.087554	-1	344.5459434	-1	-1	-1	-1	-1	-1	-1	244.0525465	-1	-1	-1	-1	-1
21	567547	411.5589777	-1	-1	-1	-1	-1	-1	454.5113882	-1	201.519605	-1	694.2131966	-1	436.4131138	-1	-1	-1	-1	423.9539249	-1	-1	-1
22	568098	-1	-1	-1	-1	508.0149146	-1	596.1304443	-1	-1	-1	348.6341353	-1	-1	-1	-1	-1	633.7259093	845.9392165	-1	-1	-1	-1
