ENODEBID	LONGITUDE	LATITUDE	ÄæÊ±ÕëË³Ðò±êºÅ
565668	102.732	24.98221	0
565756	102.746	24.98604	1
565494	102.749	24.988197	2
565532	102.763	25.0001	3
565578	102.769	25.01036	4
566971	102.77	25.01896	5
567007	102.77	25.027222	6
567009	102.769	25.033055	7
566720	102.764	25.04446	8
568098	102.754	25.05378	9
566643	102.744	25.05965	10
566604	102.74	25.06162	11
566740	102.729	25.06275	12
566666	102.718	25.06268	13
567498	102.714	25.061944	14
565645	102.704	25.05773	15
566354	102.695	25.05141	16
566090	102.687	25.04281	17
567212	102.685	25.038284	18
565822	102.682	25.03012	19
567353	102.681	25.0252	20
565998	102.682	25.01405	21
567159	102.686	25.005124	22
567266	102.689	25.00074	23
565841	102.704	24.98862	24
567491	102.707	24.9864	25
33192	102.709	24.98496	26
565393	102.714	24.9832	27
565668	102.732	24.98221	28
