		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
		565675	565621	565667	567510	565801	566010	567891	565492	565558	565627	565572	565610	565859	565630	565559	565845	565527	565633	565496	565865	565773	567531	565516	565393	565753	33566	566074	565648	567526	565551	565631	565608	567500	565531	565562	32788	567497	566316	568056	565964	567618	565898
1	565675	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	548.7354807	-1	-1	-1	-1	820.2553494	-1	437.3793916	-1	-1	313.6952012	-1	-1	-1	-1	-1	-1	-1	-1	465.2332765
2	565621	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	459.9402549	-1	-1	-1	-1	503.8077613	-1	352.5686022	-1	-1	-1	-1	-1	-1	334.4934762	-1	-1	-1	524.9385901	-1	477.2548058	-1	-1	-1	-1	-1	-1	464.0281225	-1
3	565667	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	457.225921	552.2797715	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	344.3123946	-1	-1	-1
4	567510	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	156.8037184	-1	-1	-1	411.5479484	-1	-1	-1	-1	-1	-1	304.230043	-1	407.1607003
5	565801	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	315.8408511	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	278.0395014	-1	-1	-1	-1	-1	309.1910649	-1	-1	-1	498.5561007	-1	-1	-1	-1	-1	514.8869922	591.8393186
6	566010	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	403.4334155	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	440.4898131	-1	-1	-1	450.1330491	-1	-1	-1	-1	-1	-1	574.9925199
7	567891	-1	-1	-1	-1	-1	-1	-1	-1	258.799483	323.7494377	-1	-1	-1	-1	407.0628527	-1	-1	374.6192304	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	595.1510941	-1	-1	-1	-1	-1	-1	-1	390.4123511	410.0771006	-1	-1	-1
8	565492	-1	-1	-1	-1	-1	-1	-1	-1	545.297812	-1	-1	-1	-1	-1	-1	-1	510.335702	316.7506483	449.1874012	-1	-1	-1	-1	-1	-1	-1	-1	479.3149769	-1	416.2660333	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	565558	-1	-1	-1	-1	-1	-1	258.799483	545.297812	-1	526.1715912	-1	-1	-1	-1	296.9245931	-1	-1	431.446171	-1	-1	-1	-1	449.6854295	-1	-1	-1	-1	-1	-1	364.544149	-1	-1	-1	-1	-1	-1	-1	421.3981435	-1	-1	-1	-1
10	565627	-1	-1	-1	-1	-1	-1	323.7494377	-1	526.1715912	-1	-1	-1	-1	-1	484.185667	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	312.0409326	473.9878723	-1	-1	-1
11	565572	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	415.0307836	500.1192756	-1	389.0061825	-1	-1	-1	-1	-1	-1	-1	-1	403.3135371	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	364.531195	-1	406.7715392	-1	-1	-1	-1
12	565610	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	415.0307836	-1	320.7134425	-1	433.0546552	-1	-1	-1	-1	-1	-1	-1	328.3234382	497.3360556	-1	-1	452.2519624	-1	-1	-1	-1	-1	-1	-1	-1	283.3382272	-1	-1	-1	-1	-1	-1
13	565859	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	500.1192756	320.7134425	-1	-1	-1	-1	-1	-1	-1	438.0938998	-1	648.1918135	-1	288.049136	-1	-1	521.4302959	-1	-1	-1	-1	-1	-1	-1	-1	136.6867473	-1	-1	-1	-1	-1	-1
14	565630	-1	459.9402549	-1	-1	315.8408511	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	477.2569034	-1	-1	528.2188385	-1	-1	-1	504.7125519	-1	-1	-1	-1	552.232405	-1	-1	-1	281.6070704	-1
15	565559	-1	-1	-1	-1	-1	-1	407.0628527	-1	296.9245931	484.185667	389.0061825	433.0546552	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	463.2331968	-1	-1	-1	-1	-1	-1	577.1837198	-1	-1	-1	-1	-1	-1	-1	216.1296996	-1	-1	-1	-1
16	565845	-1	-1	-1	-1	-1	403.4334155	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	488.2373704	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	565527	-1	-1	457.225921	-1	-1	-1	-1	510.335702	-1	-1	-1	-1	-1	-1	-1	-1	-1	459.4264892	295.7481085	-1	-1	-1	-1	-1	-1	-1	-1	597.1635631	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	565633	-1	-1	552.2797715	-1	-1	-1	374.6192304	316.7506483	431.446171	-1	-1	-1	-1	-1	-1	-1	459.4264892	-1	582.8364661	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	541.0961578	-1	-1	-1	-1	-1	-1	-1	-1	439.3558732	-1	-1	-1
19	565496	-1	503.8077613	-1	-1	-1	-1	-1	449.1874012	-1	-1	-1	-1	-1	-1	-1	-1	295.7481085	582.8364661	-1	-1	442.1213473	-1	-1	-1	-1	-1	-1	311.0634027	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	565865	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	438.0938998	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	303.8080286	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	461.5916746	-1	-1	-1	-1	-1	-1
21	565773	-1	352.5686022	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	442.1213473	-1	-1	-1	-1	-1	-1	-1	-1	511.2218485	-1	-1	-1	-1	-1	550.5182535	-1	-1	-1	-1	-1	-1	-1	-1
22	567531	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	648.1918135	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	407.9118135	-1	-1	-1	-1	-1	733.7123882	-1	-1	-1	-1	-1	-1	661.1780846	-1	-1
23	565516	548.7354807	-1	-1	-1	-1	-1	-1	-1	449.6854295	-1	-1	328.3234382	-1	-1	463.2331968	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	428.7329733	-1	-1	338.1301956	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
24	565393	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	403.3135371	497.3360556	288.049136	-1	-1	-1	-1	-1	-1	303.8080286	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	220.1735841	-1	-1	-1	-1	-1	-1
25	565753	-1	-1	-1	-1	278.0395014	-1	-1	-1	-1	-1	-1	-1	-1	477.2569034	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	456.9191092	-1	-1	-1	268.8877236	-1	439.0067506	-1	-1	-1	532.7056879	-1
26	33566	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	302.3998202	-1	152.3656503	-1	-1	-1	-1	-1	-1	514.5179749	-1
27	566074	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	452.2519624	521.4302959	-1	-1	-1	-1	-1	-1	-1	-1	407.9118135	428.7329733	-1	-1	-1	-1	-1	-1	-1	-1	-1	517.9625564	-1	-1	-1	-1	-1	-1	-1	-1	-1
28	565648	820.2553494	334.4934762	-1	-1	-1	-1	-1	479.3149769	-1	-1	-1	-1	-1	528.2188385	-1	-1	597.1635631	-1	311.0634027	-1	511.2218485	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29	567526	-1	-1	-1	156.8037184	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	488.2373704	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	567.43556	-1	-1	-1	-1	-1	-1	253.3705841	-1	507.9594926
30	565551	437.3793916	-1	-1	-1	-1	-1	595.1510941	416.2660333	364.544149	-1	-1	-1	-1	-1	577.1837198	-1	-1	541.0961578	-1	-1	-1	-1	338.1301956	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	565631	-1	-1	-1	-1	309.1910649	440.4898131	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	456.9191092	-1	-1	-1	-1	-1	-1	-1	-1	-1	530.1591971	-1	-1	-1	-1	-1	-1	317.8842909
